"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05215","hsa05215","Prostate cancer","64/3790","97/8163",7.45263240266463e-05,0.00117548338351119,0.000837975413696741,"5295/3320/9134/572/80310/595/1956/56034/2260/7157/10000/5154/7113/2263/3479/6934/5156/51176/2078/5290/898/5970/468/2950/6692/7039/8503/208/1870/354/2885/4193/5291/1017/1869/9586/1385/7184/4893/1027/148327/83439/207/5925/5293/1499/5594/1026/6654/2475/2064/5728/5296/64764/4824/5327/3845/3551/3326/6932/596/90993/369/2932",64
"hsa05012","hsa05012","Parkinson disease","154/3790","266/8163",8.98632934304694e-05,0.00135576360088578,0.000966493087238458,"64116/29985/6391/3309/3710/5705/27089/4722/516/7345/5691/4728/5702/54539/10131/3831/10383/55669/7317/7295/6622/1345/120892/4780/5700/5714/515/3708/7326/2778/201266/7157/5566/9377/25800/4704/126328/5602/3798/7494/4891/2774/5685/65018/4724/5690/9817/2770/1337/468/1347/4705/9927/10376/291/4217/7846/518/4708/1349/7314/7381/55630/7419/498/51465/5709/84790/7979/1351/5719/56901/5713/2773/10381/5601/203068/7384/3800/5599/5567/1340/4712/6647/91860/6233/5684/55334/27429/817/4512/4707/7327/5692/22926/4129/5689/4700/91252/6389/4710/9451/4702/7332/6263/5682/111/293/1329/5715/522/5335/581/1327/374291/4701/513/29796/4716/4726/506/10213/4513/5693/4541/539/55967/5694/3799/2081/64837/5695/517/51079/118424/4706/292/11315/5686/29986/7922/5683/347733/836/4696/1350/4694/4723/5704/7385/7318/84617/90550/1346",154
"hsa04151","hsa04151","PI3K-Akt signaling pathway","199/3790","354/8163",0.000101550138038341,0.00146824574580434,0.00104667905434255,"3696/5295/3320/1292/1284/3082/7057/2066/7058/9134/930/54331/3913/5529/3455/572/6446/80310/2261/595/1956/23566/5518/3909/3481/22801/2065/2786/3911/5879/7534/56034/2846/4908/3718/55970/7450/2260/3566/284/7157/10000/2690/92579/2321/4803/5154/3643/2252/5522/2263/3371/2335/3479/627/9470/4915/4233/5156/118788/1298/4254/3910/3918/2791/5290/898/10319/5970/2788/7531/7248/3454/1902/55844/59345/672/5516/3655/9223/3575/5106/1977/468/3679/7039/8503/5586/4602/5527/208/2323/9180/1286/10971/2885/1436/1285/1277/6850/3672/3815/2309/896/3716/1293/4193/2246/5291/1017/2057/7249/894/1288/5519/23533/9586/9863/1385/7184/7060/4893/5747/1019/1441/1027/148327/6009/1975/9170/207/23035/5293/7423/2264/7424/64223/285/5594/5528/1026/2324/6654/3563/1299/2475/2064/5728/1386/6198/2782/2254/7010/1101/5296/10018/1297/64764/5617/6256/7529/2783/5523/7422/131873/29941/3673/1945/3845/3551/7059/3326/55012/1946/3675/5649/3791/596/3164/8516/90993/23239/5515/3559/356/28227/2784/1291/6199/2932/2255/3676/10681/2787/200186/3915/9965/5520/4846",199
"hsa04145","hsa04145","Phagosome","93/3790","152/8163",0.000158940076969618,0.00215691771351899,0.00153761766320935,"7057/7058/948/53407/9902/1514/949/10333/10383/245973/5879/718/8411/715/3920/78989/3133/1780/821/4360/23673/29927/1535/23545/9341/7879/528/81035/10376/811/8417/7846/4689/155066/10952/6890/2212/3123/84790/2213/64581/1536/10381/203068/3113/9114/929/4688/22925/8685/30835/338382/9103/653361/7060/23480/3689/4481/535/3122/3684/6891/3111/5289/5868/3119/1778/1520/526/3115/55176/6441/5878/51382/3916/7037/3673/79659/7059/51143/347733/4842/5869/3112/83547/50617/60/1783/4973/3135/84617/3125/2209",93
"hsa05415","hsa05415","Diabetic cardiomyopathy","120/3790","203/8163",0.000161613430984132,0.00215691771351899,0.00153761766320935,"5295/5332/948/5165/6262/6391/27089/4722/516/5590/4728/54539/1345/23236/515/5500/5879/185/142/10000/1281/3643/9882/9377/4704/7048/5499/126328/5602/5290/5970/5166/1535/4724/5524/1636/1337/5160/1347/4705/489/291/5164/518/5580/4708/8503/5465/1349/208/7381/4689/5350/7419/498/1351/1277/56901/4087/1536/5601/5291/7384/5599/4688/1340/5603/4712/2597/653361/207/2673/817/4512/5293/4707/4088/4700/6389/4710/4702/7046/6667/2475/5728/293/488/1329/522/1327/374291/9945/4701/513/5296/29796/4716/4726/506/4513/6513/4541/539/55967/517/51079/4706/292/1215/5600/5579/4696/1350/2932/4694/4723/4313/7385/4846/1346",120
"hsa04931","hsa04931","Insulin resistance","69/3790","108/8163",0.000178009927492877,0.00228775721629735,0.00163089017391135,"5295/948/5564/5590/5500/6197/5507/10000/92579/3643/9882/22877/5588/5499/5565/5602/32/5290/5970/6195/5524/5106/8660/5581/5580/8503/5465/5770/208/6720/5601/5792/5291/5599/11001/10999/9586/1385/376497/27330/11000/9021/7132/148327/207/2673/5293/2475/5728/6196/6198/9945/5296/10724/64764/6513/5571/3551/90673/5579/90993/5781/6199/2932/200186/1374/6945/4846/5836",69
"hsa04152","hsa04152","AMPK signaling pathway","76/3790","121/8163",0.000191633261857673,0.00237488363802188,0.00169300062167493,"5295/948/5529/5564/595/5518/31/3156/5468/10000/5211/92579/79966/3643/5522/3479/81617/1994/5565/32/890/5290/92335/7248/55844/5516/51719/5213/5106/9230/8471/8660/8503/5527/208/2309/3172/6720/5291/7249/5519/9586/1385/10645/148327/6009/207/2194/5293/79602/3953/5528/2475/6885/6198/5214/5296/8900/64764/5523/23411/51552/5571/2203/55012/90993/5515/5207/28227/6199/5862/200186/1374/84335/4218/5520",76
"hsa04932","hsa04932","Non-alcoholic fatty liver disease","94/3790","155/8163",0.000231556143872131,0.00277068903184929,0.00197516129981673,"5295/6391/5564/27089/4722/4728/54539/1345/5879/5468/10000/3643/22877/9377/4704/126328/5565/5602/355/5290/7494/5970/4724/1337/468/1347/4705/8660/637/4217/4708/8503/5465/1349/208/7381/840/1351/56901/6720/5601/5291/7384/5599/1340/5603/4712/9021/7132/207/4512/5293/4707/79602/4700/841/6389/3953/4710/9451/4702/1329/581/1327/374291/4701/5296/29796/4716/4726/10018/83737/4513/7186/6256/55967/2931/2081/5571/51079/4706/3551/5600/836/2353/4696/356/1350/2932/4694/4723/6945/7385/1346",94
"hsa04211","hsa04211","Longevity regulating pathway","58/3790","89/8163",0.000264886459419487,0.00306385338061874,0.00218415150749402,"5295/9365/5564/5468/27244/115/7157/10000/3643/5566/3479/9470/5565/143686/5290/5970/7248/1977/468/8471/8660/8503/79813/208/109/2309/9821/5291/7249/5567/26060/9586/1385/847/10645/4893/10919/148327/6009/207/5293/79602/9474/196883/2475/111/1386/6198/581/83667/5296/64764/23411/5571/3845/90993/6199/84335",58
"hsa01524","hsa01524","Platinum drug resistance","49/3790","73/8163",0.000274124206514914,0.0030684225696992,0.00218740877864193,"5295/330/5980/4259/2948/572/9446/7157/10000/2947/119391/355/5290/7153/4258/7507/672/2950/637/4217/332/8503/1029/208/331/4193/5291/5429/7155/4292/207/5293/841/540/5594/1026/4436/2064/2949/538/581/5296/5366/472/1317/596/836/2941/356",49
"hsa05100","hsa05100","Bacterial invasion of epithelial cells","51/3790","77/8163",0.000341369898195991,0.00370172983356278,0.00263887914723875,"5295/23607/79767/6714/5879/858/857/9844/8976/999/2335/10801/4233/1759/2549/5290/55752/10096/10459/29119/23176/10097/8503/1496/4735/26052/1785/63916/5291/3059/10163/5747/1731/1212/5293/867/1499/10092/5296/1213/10094/81873/8936/1495/399694/1398/2017/60/23157/5829/653857",51
"hsa03060","hsa03060","Protein export","19/3790","23/8163",0.000400621853387256,0.00411485457302045,0.00293338639362902,"3309/9789/60559/29927/23478/83943/11231/7095/196294/6727/10952/6726/28972/58477/23480/90701/6731/55176/6730",19
"hsa05165","hsa05165","Human papillomavirus infection","184/3790","331/8163",0.00040318459793284,0.00411485457302045,0.00293338639362902,"3696/5295/1292/1284/10207/8323/7057/7855/7058/9134/8324/23513/92359/55502/3913/5529/4599/3455/572/5590/595/1956/7283/5518/3909/8322/22801/4600/3911/5700/64398/3065/245973/7450/2778/84441/7482/7157/10000/7472/5566/5522/3371/2335/3133/6934/23493/11211/3993/1298/890/3910/3918/355/5290/898/10319/5970/1740/1739/4853/23462/7248/3454/55844/23545/5516/3655/9223/5584/528/3679/8503/5527/26508/208/155066/3516/1286/8312/2885/1285/1277/84612/3672/896/3716/1293/4193/29110/545/3955/57801/5291/56288/1017/7249/894/1452/1288/1869/8321/5567/9114/5519/9586/4855/1385/5734/9368/7060/4893/5747/1019/1027/7132/148327/83439/6009/5663/10474/207/6773/1741/535/5925/5293/841/1499/5594/5528/1026/6654/1299/5986/2475/5728/6198/3066/581/1101/4851/3996/5296/8900/7976/526/1297/64764/5523/7422/51382/7476/131873/3673/3845/1857/3551/7059/55012/8313/6932/472/3675/7475/5649/8516/90993/836/5515/356/28227/23352/1291/6199/2932/3676/7474/50617/4799/3915/5829/5520/3135",184
"hsa05212","hsa05212","Pancreatic cancer","50/3790","76/8163",0.000495379112017475,0.00491133005343039,0.0035011756789205,"5295/572/595/5337/1956/5879/9459/5338/5900/7157/10000/7048/5602/5290/5970/7039/8503/10928/1029/208/1870/3716/4087/5601/5291/5888/1869/5599/675/1019/207/5925/5293/4088/5594/1026/7046/2475/2064/6198/581/4089/5296/7422/3845/3551/369/6199/5899/1643",50
"hsa04530","hsa04530","Tight junction","100/3790","169/8163",0.000525778060717541,0.00506791630747185,0.0036128024639948,"10207/10398/11346/4629/23513/92359/100506658/1365/8189/5564/91862/3308/5590/57530/9071/1366/79784/595/5010/7082/5518/7122/64398/6714/5879/861/153562/83700/8777/2626/4214/27134/5566/5522/776/4301/3993/9693/5565/5602/5111/1740/1739/55844/51762/58494/5516/5906/10096/9223/50848/5584/6093/23327/57826/10376/4217/7846/10097/5581/79778/84790/84612/4628/9475/5601/56288/3059/5599/5567/23370/5519/4771/7430/4478/9368/1019/1741/55114/9076/2064/10092/3996/10094/140465/87/81873/5571/1364/10627/51735/5515/2017/81/7454/54566/60/4218/653857/5520",100
"hsa04914","hsa04914","Progesterone-mediated oocyte maturation","64/3790","102/8163",0.000624266722873345,0.00585460953613651,0.0041736182041319,"5295/3320/5241/29945/6197/115/10000/983/5566/3479/5602/890/4085/3835/993/5290/891/6195/2770/10459/64506/22849/996/995/9133/8697/8503/208/51433/699/51434/9088/109/5347/2773/5601/5291/1017/5599/5567/5603/8379/27330/25906/8881/207/132864/51529/5293/6790/5594/51343/196883/111/6196/6793/5296/8900/85417/3845/119504/3326/5600/369",64
"hsa05132","hsa05132","Salmonella infection","141/3790","249/8163",0.000667509376613098,0.00609541457065119,0.00434528264554233,"3320/5608/5286/4671/330/4646/10398/837/9265/23643/5420/3831/10333/375/10383/7295/5879/10392/79443/112574/10810/9844/8976/10000/6993/834/8767/1780/6934/1434/51176/5602/3798/257364/5290/27128/5970/9266/7100/51209/23118/10096/79026/7879/6281/10376/26263/55207/7846/10097/127829/208/840/23265/5216/84790/23191/51429/9475/10640/1785/8795/10381/63916/5601/203068/5291/60412/140735/3800/5599/929/5603/2597/84516/7184/338382/2316/7132/29109/83439/207/55823/5293/6500/841/83657/1499/8797/11035/5594/5289/10121/5868/5788/1778/6885/3071/581/8677/10092/10094/114609/7186/5878/81873/11258/9842/388/3799/64837/5063/79659/3551/3326/3836/6932/5600/10627/596/10120/51143/347733/55860/836/2317/2353/10540/5869/83547/1639/60/197259/51164/1783/83658/653857/5217/5287/84617/29108",141
"hsa03013","hsa03013","Nucleocytoplasmic transport","67/3790","108/8163",0.000740661472683246,0.00658998797489965,0.0046978527956967,"3842/7175/5976/4927/11097/57510/84305/9818/3837/3841/10526/1434/55706/10189/79228/3838/23279/4928/5411/55916/23511/55161/25909/10921/79902/7341/23225/79711/23633/23636/81929/3843/9939/10284/129401/57187/5905/23214/5901/59343/7514/9688/55705/30000/10527/23039/9972/55110/64901/6612/22916/2733/4686/1915/57122/8086/7329/65110/3836/348995/6396/26019/10762/56000/51808/23165/29107",67
"hsa03420","hsa03420","Nucleotide excision repair","33/3790","47/8163",0.000812760724188144,0.00705069928233215,0.00502628342590036,"5887/8450/5982/5111/5426/7507/5983/1022/5985/1069/5424/4331/5425/2967/2073/5427/5984/2968/3978/54107/6119/10714/2965/404672/2072/9978/56655/8451/1161/5886/5981/6117/1643",33
"hsa01521","hsa01521","EGFR tyrosine kinase inhibitor resistance","51/3790","79/8163",0.000848716432662226,0.00718303907643396,0.00512062546022139,"5295/3082/572/80310/2261/1956/2065/6714/56034/10000/5154/2263/3479/9470/4233/5156/9542/2549/5290/1977/7039/8503/208/2885/2309/3716/5291/4893/207/5293/5594/6654/2475/2064/5728/6198/5335/581/5296/10018/2621/7422/3084/3845/399694/5579/3791/596/369/6199/2932",51
"hsa04015","hsa04015","Rap1 signaling pathway","120/3790","210/8163",0.00103399312223983,0.00844976543929318,0.00602364592214135,"5295/5608/5332/889/3082/7057/57568/7410/5909/5587/3397/5590/80310/2261/1956/23566/9732/2775/22808/23236/6714/5879/56034/2846/5900/2260/2778/2776/284/115/10000/55740/2321/4803/5154/999/3643/2252/2263/3479/4301/9771/4233/5156/25780/9693/4254/5290/51466/10411/1902/5906/2770/9223/8631/5584/8503/208/5216/1436/109/84612/3815/23094/2246/2773/5291/56288/1268/5603/2533/9863/91860/4893/3689/7094/9170/207/5293/3684/7423/3937/2264/7424/1499/285/5594/2324/196883/83593/111/23683/2357/2254/5335/9855/7010/2904/10235/5296/2889/7422/1945/3845/5600/10451/1946/83660/5579/3791/1398/5028/51735/2903/2255/2902/60/5899/9965/5217",120
"hsa04144","hsa04144","Endocytosis","141/3790","251/8163",0.00104708908901904,0.00844976543929318,0.00602364592214135,"6643/9265/92421/50807/9922/2348/832/5590/8395/23527/8027/2261/408/3482/5337/1956/375/8766/23624/56904/6714/5338/858/857/23111/55616/644150/8411/8724/8976/23325/22841/2263/2869/3133/7048/51100/5156/3798/26056/1759/2060/9815/51019/27128/84440/9266/381/84313/2350/23362/11031/10096/58533/5584/7879/9230/116987/23327/10565/10097/6642/26052/8394/84612/414189/26286/25978/1785/51534/4087/116985/4193/116988/56288/55737/3800/64145/3310/27131/254122/57154/3577/89853/147179/1212/4088/84364/2264/867/10564/11267/7046/30844/79720/5868/116983/27243/161/23550/30011/57403/156/10092/1213/10094/30846/80230/83737/79643/868/5878/81873/10254/128866/2870/3799/7037/1234/3306/55040/9798/51324/10015/409/28964/3559/138429/378/5869/8723/64744/642517/163/7456/1175/9135/4218/653857/3135/440073",141
"hsa05213","hsa05213","Endometrial cancer","39/3790","58/8163",0.00107688453922254,0.00849270307068685,0.00605425518462433,"5295/572/595/1956/7157/10000/999/6934/51176/5290/29119/8503/208/1496/8312/2885/2309/5291/4292/4893/83439/207/5293/1499/5594/1026/6654/2002/2064/5728/581/5296/3845/1495/8313/6932/369/2932/1643",39
"hsa05220","hsa05220","Chronic myeloid leukemia","49/3790","76/8163",0.00111190693294789,0.00850192542756652,0.00606082959344193,"5295/2122/9846/6776/572/595/3065/861/7157/10000/6777/7048/5290/5970/613/8503/1029/208/1870/2885/1488/1487/4193/25/5291/1869/4893/1019/1027/207/5925/5293/4088/867/5594/1026/6654/7046/3066/581/4089/5296/3845/399694/3551/1398/5781/369/1643",49
"hsa04380","hsa04380","Osteoclast differentiation","77/3790","128/8163",0.0011504437946335,0.00850192542756652,0.00606082959344193,"5295/5608/2354/9846/3455/2274/5530/5879/5468/1540/10000/4772/5532/7048/140885/5602/5290/5970/3454/1535/23118/8878/23547/8503/10859/208/10990/4689/2212/2213/2885/1436/11025/6850/3716/5601/5291/7305/4773/11006/5599/4688/8792/5603/1385/10288/2534/9103/653361/3726/9021/7132/207/6773/5293/3937/10326/5594/7046/54/4286/6688/6885/3554/126014/5296/7186/11027/3459/3551/5600/29760/2353/11024/27035/8651/2209",77
"hsa05225","hsa05225","Hepatocellular carcinoma","98/3790","168/8163",0.00116230378908599,0.00850192542756652,0.00606082959344193,"5295/3082/8323/7855/8324/4259/2948/6597/572/9446/595/1956/8322/3481/6599/4780/7482/6598/7157/10000/7472/7048/2947/119391/86/6934/4233/11211/51176/2549/5290/8289/23401/4258/6595/9817/57492/2950/6604/7039/8503/1029/208/1870/8312/2885/4087/6605/5291/1452/1869/8321/7296/6603/29117/4893/1019/83439/207/4041/5925/5293/4088/1499/5594/1026/6654/7046/2002/2475/5728/2949/6198/8110/5335/581/4089/6601/5296/7976/7476/6602/3845/1857/399694/8313/6932/7475/5579/2941/3162/55274/369/6199/2932/7474/60/1643",98
"hsa04933","hsa04933","AGE-RAGE signaling pathway in diabetic complications","62/3790","100/8163",0.00117605884877001,0.00850192542756652,0.00606082959344193,"5295/5332/1284/1958/7412/6776/5590/595/23236/5879/185/10000/1281/4772/2335/6777/7048/5602/5290/3383/5970/6401/5581/5580/8503/208/6347/1286/1285/1277/4087/1536/5601/5291/1288/5599/5603/4893/1019/1027/207/5293/4088/7423/7424/1729/5594/7046/5335/581/4089/5296/7422/3845/5600/5579/596/836/5054/27035/4313/4846",62
"hsa03440","hsa03440","Homologous recombination","29/3790","41/8163",0.0013945017879279,0.00979383198141313,0.0069818004417779,"10111/25788/5932/8438/641/4683/580/672/5892/5424/5425/7979/8940/146956/84142/83990/6119/5888/10714/675/7156/79184/80198/29086/7517/472/11073/6117/5889",29
"hsa05208","hsa05208","Chemical carcinogenesis - reactive oxygen species","126/3790","223/8163",0.00141121498291255,0.00979383198141313,0.0069818004417779,"5295/3082/6391/4259/2948/5587/27089/4722/572/516/9446/4728/54539/5337/1956/1345/4780/515/6714/5879/5338/10000/2052/1645/9377/4704/2947/119391/4233/126328/5602/5290/5970/4258/196/1535/4724/9817/405/1337/1347/4705/291/4217/518/5580/4708/27/8503/1349/5770/208/7381/7419/10327/498/1351/2885/56901/2309/25/5601/5291/7384/5599/4688/1340/5603/4712/6647/847/653361/4893/5747/207/4512/5293/4707/4700/6389/4710/4702/52/5594/6654/5728/293/2949/1544/23683/1329/522/1327/374291/4701/513/5296/29796/4716/4726/506/4513/4541/539/55967/7422/1836/3845/517/51079/4706/3551/292/5600/2941/2353/5781/4696/3162/1350/369/4694/4723/27035/7385/1346",126
